Keyword,Sentence
娘炮,你这娘炮，说话阴阳怪气的，真恶心！
娘炮,娘炮一个，就知道扭扭捏捏，真没用！
娘炮,滚吧，你个娘炮，别在这碍眼！
娘炮,瞧你那娘炮样，丢人现眼！
娘炮,你就是个娘炮，一点男子气概都没有！
娘炮,真他妈是个娘炮，弱不禁风！
娘炮,别装了，你就是个十足的娘炮！
娘炮,这么娘炮，难怪没人喜欢你！
娘炮,你个娘炮，整天就知道哭哭啼啼！
娘炮,这年头娘炮真多，真是让人倒胃口！
娘娘腔,你这娘娘腔，说话能不能硬气点？
娘娘腔,娘娘腔，滚一边去，别烦我！
娘娘腔,瞧你那娘娘腔样，真恶心！
娘娘腔,真他妈的娘娘腔，丢人现眼！
娘娘腔,别装了，你就是个娘娘腔！
娘娘腔,娘娘腔，你算什么东西？
娘娘腔,这么娘，你是个娘娘腔吗？
娘娘腔,一看就是个娘娘腔，弱爆了！
娘娘腔,娘娘腔，你给我闭嘴！
娘娘腔,这娘娘腔，比女人还矫情！
娘娘男,你这娘娘男，扭扭捏捏的像个娘们！
娘娘男,娘娘男，一看就不是个爷们儿！
娘娘男,真恶心，这娘娘男，给我起鸡皮疙瘩！
娘娘男,娘娘男，滚一边去，别碍眼！
娘娘男,瞧你那娘娘腔，娘娘男，丢人现眼！
娘娘男,这娘娘男，说话跟个女人似的！
娘娘男,你个娘娘男，就知道哭哭啼啼的！
娘娘男,娘娘男，没出息的东西！
娘娘男,这么娘的娘娘男，我真是受不了！
娘娘男,看见这娘娘男，我就想吐！
娘化男,你这娘化男，长得跟个娘们似的！
娘化男,娘化男滚一边去，别恶心人了！
娘化男,瞧你那娘化男样儿，丢人现眼！
娘化男,你就是个娘化男，没出息！
娘化男,娘化男，真他妈丢脸！
娘化男,这娘化男，一看就不是个男人！
娘化男,真没想到你是个娘化男，真让人失望！
娘化男,娘化男，你给我等着！
娘化男,这娘化男，真让人作呕！
娘化男,你个娘化男，算什么东西！
娘男,你这娘男，整天扭扭捏捏的，真恶心！
娘男,娘男，滚一边去，别碍着我！
娘男,瞧你那怂样，十足一个娘男！
娘男,你个娘男，就知道哭哭啼啼的。
娘男,真他妈的娘男，一点男子气概都没有！
娘男,娘男，你活该被嘲笑！
娘男,别装了，你就是个娘男！
娘男,这么娘，你还是个男人吗？娘男！
娘男,你就是个彻头彻尾的娘男，丢人现眼！
娘男,看见你我就想吐，娘男！
臭男人,你这个臭男人，就知道欺负女人！
臭男人,臭男人！滚远点，别烦我！
臭男人,真是个臭男人，一点绅士风度都没有。
臭男人,臭男人，你以为你是谁啊？
臭男人,瞧你那德性，十足的臭男人！
臭男人,你这臭男人，就知道喝酒赌博！
臭男人,这么没用，真是个窝囊废臭男人！
臭男人,臭男人！别以为我不知道你那些破事！
臭男人,你这种臭男人，迟早要遭报应！
臭男人,看见你就烦，臭男人，离我远点！
窝囊废,你个窝囊废，就知道哭哭啼啼的！
窝囊废,窝囊废，连这点小事都做不好！
窝囊废,你真是个十足的窝囊废，没用！
窝囊废,窝囊废！就知道躲在家里不敢出来！
窝囊废,这么点事都办不成，你真是个窝囊废！
窝囊废,窝囊废，一辈子都抬不起头！
窝囊废,瞧你那熊样，十足的窝囊废！
窝囊废,真是个窝囊废，丢人现眼！
窝囊废,窝囊废，别在这儿丢人现眼了！
窝囊废,你就是个彻头彻尾的窝囊废！
窝囊男,你这窝囊男，一辈子都成不了气候！
窝囊男,窝囊男一个，就知道窝在家哭哭啼啼！
窝囊男,看你那熊样，妥妥的窝囊男！
窝囊男,真窝囊男，连个屁都不敢放！
窝囊男,你就是个彻头彻尾的窝囊男，没出息！
窝囊男,窝囊男，就知道躲在女人身后！
窝囊男,真是个窝囊废，窝囊男！
窝囊男,你这窝囊男，活该单身一辈子！
窝囊男,窝囊男，连自己都照顾不好！
窝囊男,瞧你那怂样，十足的窝囊男！
废柴男,你这废柴男，整天就知道吃喝玩乐！
废柴男,废柴男一个，啥也干不成，真丢人！
废柴男,看看你，一个废柴男，真是让我恶心！
废柴男,废柴男，你除了失败还能干啥？
废柴男,你就是个彻头彻尾的废柴男，没用！
废柴男,真没想到你会这么废柴，真是个男废物！
废柴男,废柴男！你让我太失望了！
废柴男,就你这样的废柴男，谁会喜欢你？
废柴男,废柴男！滚一边去！
废柴男,你这废柴男，简直就是个笑话！
烂男人,你这个烂男人，就知道欺骗女人的感情！
烂男人,烂男人一个，一点责任感都没有！
烂男人,真是个烂男人，只会躲在女人身后！
烂男人,别以为我不知道你是个烂男人，你的真面目早晚会暴露！
烂男人,呸，烂男人！滚远点！
烂男人,你就是个彻头彻尾的烂男人，渣男！
烂男人,跟这种烂男人在一起，真是倒霉透顶了！
烂男人,我恨你，你这个烂男人！
烂男人,烂男人，你不得好死！
烂男人,你这种烂男人，迟早要遭到报应！
龟孙,你个龟孙子，整天就知道偷懒！
龟孙,龟孙，你以为你是谁啊，敢这么跟我说话？
龟孙,这龟孙玩意儿，气死我了！
龟孙,真是个没用的龟孙，什么都做不好。
龟孙,你这龟孙，就知道给我添乱！
龟孙,滚一边去，你这只老龟孙！
龟孙,龟孙子，你给我等着！
龟孙,我呸，你这龟孙，真不要脸！
龟孙,这龟孙东西，比猪还蠢！
龟孙,龟孙！你再敢说一句试试！
王八羔子,你个王八羔子，一天到晚就知道装！
王八羔子,王八羔子，滚远点，别烦我！
王八羔子,看你那德行，真他妈是个王八羔子！
王八羔子,你这王八羔子，就知道偷奸耍滑！
王八羔子,我呸！王八羔子，你算什么东西？
王八羔子,王八羔子，你给我等着！
王八羔子,真是个没用的王八羔子！
王八羔子,你这王八羔子，气死我了！
王八羔子,王八羔子，别以为我不知道你在想什么！
王八羔子,这王八羔子，干啥啥不行，吃饭第一名！
死全家,你个死全家，一天到晚就知道惹是生非！
死全家,死全家！你这种人就该滚出地球！
死全家,死全家，你真是个十足的废物！
死全家,滚！死全家，别让我再看到你！
死全家,你全家都该死！真是气死我了！
死全家,死全家，你以为你算老几？
死全家,瞧你那德行，死全家都不为过！
死全家,你这种人，死全家都不嫌多！
死全家,死全家！你给我等着！
死全家,我诅咒你死全家，不得好死！
欠操,你这欠操的玩意儿，一天到晚就知道惹是生非！
欠操,欠操！滚你妈的，别再烦我了！
欠操,你真是欠操，才会干出这种蠢事！
欠操,我看你就是欠操，才会这么不知好歹！
欠操,欠操的东西，早晚要遭报应！
欠操,你个欠操的，给我闭嘴！
欠操,欠操！你以为你是谁啊？
欠操,你这种欠操的人，迟早要完蛋！
欠操,真是欠操，一点眼力劲儿都没有！
欠操,欠操！  我忍你很久了！
死鬼,你个死鬼，一天到晚就知道鬼混！
死鬼,死鬼，滚开，别烦我！
死鬼,这死鬼，做事一点都不靠谱！
死鬼,你这死鬼，就知道偷懒！
死鬼,死鬼，你给我等着！
死鬼,真是个死鬼，气死我了！
死鬼,死鬼，你算什么东西！
死鬼,别以为我不知道你那点小心思，死鬼！
死鬼,死鬼，你给我道歉！
死鬼,整天就知道吃喝玩乐，真是个没用的死鬼！
臭狗屎,你这臭狗屎，滚远点！
臭狗屎,臭狗屎一样的东西，真恶心！
臭狗屎,你就是个臭狗屎，没用！
臭狗屎,臭狗屎不如的东西，别烦我！
臭狗屎,你这个人渣，臭狗屎！
臭狗屎,真是一堆臭狗屎，什么玩意儿！
臭狗屎,整天就知道散发臭狗屎一样的思想！
臭狗屎,你比臭狗屎还不如！
臭狗屎,臭狗屎，你给我闭嘴！
臭狗屎,看见你就想吐，臭狗屎！
婊子,你这个婊子，一天到晚就知道勾三搭四！
婊子,真是个不要脸的婊子，竟然敢这样对我！
婊子,滚开，你这个臭婊子！
婊子,你这婊子，活该你倒霉！
婊子,我呸，你个贱婊子！
婊子,婊子，别以为我不知道你在背后搞什么鬼！
婊子,你这种婊子，迟早要遭报应！
婊子,看看你那德行，十足一个烂婊子！
婊子,别在我面前装清纯，你就是个虚伪的婊子！
婊子,你这张嘴，跟个臭水沟一样脏，跟个婊子似的！
妓女,你这个妓女，一天到晚搔首弄姿的。
妓女,真是个不要脸的妓女，谁要娶你啊？
妓女,妓女，滚远点，别脏了我的眼。
妓女,你以为你是谁啊，臭妓女！
妓女,妓女就是妓女，永远摆脱不了这个身份。
妓女,你这种妓女，我见多了。
妓女,别装了，你就是个下贱的妓女！
妓女,妓女！你给我听好了！
妓女,我看你就是个老妓女！
妓女,妓女，你活该倒霉！
骚货,你这骚货，穿成这样招摇过市！
骚货,骚货，别以为你打扮得花枝招展就能吸引人。
骚货,看你那骚货样，真让人恶心！
骚货,骚货，整天就知道勾三搭四。
骚货,真是个不要脸的骚货！
骚货,你这个骚货，给我滚远点！
骚货,骚货，别以为我不知道你在想什么。
骚货,骚货，你以为自己很漂亮吗？
骚货,你就是个低俗的骚货！
骚货,这年头，到处都是些骚货。
臭婊,你这个臭婊子，一天到晚就知道搔首弄姿！
臭婊,臭婊子，滚出我的视线！
臭婊,瞧你那德行，真他妈是个臭婊子！
臭婊,臭婊子，别以为我不知道你在背后说我坏话！
臭婊,你就是个臭婊子，没人喜欢你！
臭婊,臭婊子，你活该！
臭婊,臭婊子，你给我等着！
臭婊,真没想到你是个臭婊子！
臭婊,臭婊子，你真下贱！
臭婊,看见你就烦，臭婊子！
木头脑袋,你这木头脑袋，真是笨到家了！
木头脑袋,木头脑袋，反应这么慢，真是气死我了！
木头脑袋,你个木头脑袋，啥时候才能开窍啊？
木头脑袋,整天就知道发呆，真是个木头脑袋！
木头脑袋,木头脑袋，一点儿都不灵光！
木头脑袋,这么简单的问题都答不上来，你真是个木头脑袋！
木头脑袋,你这木头脑袋，怎么这么不开窍呢？
木头脑袋,真想撬开你这木头脑袋看看里面装的是什么！
木头脑袋,木头脑袋，就知道傻站着！
木头脑袋,你这木头脑袋，真是让人无语！
呆瓜,你这呆瓜，脑袋是不是进水了？
呆瓜,呆瓜！你做的事真是蠢到家了！
呆瓜,整天就知道吃喝玩乐，你真是个十足的呆瓜！
呆瓜,这么简单的道理都想不明白，你是个彻头彻尾的呆瓜！
呆瓜,看看你干的这蠢事，真是个不折不扣的呆瓜！
呆瓜,你个呆瓜，就知道在这里碍手碍脚！
呆瓜,真不知道你这么个呆瓜是怎么活到现在的！
呆瓜,你真是个无可救药的呆瓜，笨死了！
呆瓜,呆瓜！你的智商是不是负数？
呆瓜,别再丢人现眼了，呆瓜！
呆木头,你这呆木头，反应这么慢！
呆木头,呆木头一样，真笨！
呆木头,呆木头，你脑子是不是进水了？
呆木头,真是个呆木头，一点都不机灵！
呆木头,整天像个呆木头一样，真让人火大！
呆木头,你比呆木头还呆，气死我了！
呆木头,我说你啊，呆木头，能不能长点脑子？
呆木头,这呆木头，怎么什么都不懂？
呆木头,这么简单的道理你都听不懂，真是个呆木头！
呆木头,呆木头一样，一点情趣都没有。
榆木脑袋,你这榆木脑袋，怎么这么蠢？
榆木脑袋,榆木脑袋就是形容你这样的！
榆木脑袋,真是个榆木脑袋，一点儿也不开窍。
榆木脑袋,榆木脑袋，反应这么迟钝。
榆木脑袋,你个榆木脑袋，啥时候才能明白？
榆木脑袋,这么简单的道理，你个榆木脑袋都想不明白。
榆木脑袋,榆木脑袋，就知道死脑筋。
榆木脑袋,真是个榆木脑袋，笨死了！
榆木脑袋,你简直就是个榆木脑袋，无可救药。
榆木脑袋,榆木脑袋，难怪你总是失败。
二百五,你这二百五，脑袋被门夹了吧？
二百五,真够二百五的，什么事都干不成！
二百五,二百五！就知道添乱，气死我了！
二百五,我真是服了你了，这智商二百五都不如！
二百五,你个二百五，能不能动点脑子？
二百五,这么简单的事都做不好，真是个二百五！
二百五,就知道傻笑，二百五！
二百五,二百五！你以为你是谁啊？
二百五,简直就是个二百五，无可救药！
二百五,笨死了，十足的二百五！
呆楞,你这呆楞，反应这么慢，真是气死我了！
呆楞,呆楞！你脑袋是不是被门夹了？
呆楞,看你呆楞的样子，真是丢人现眼！
呆楞,这么简单的题都做不对，你真是个呆楞！
呆楞,呆楞！你除了呆楞还会干什么？
呆楞,真是个呆楞，一点也不机灵！
呆楞,你这个人怎么这么呆楞，一点也不上道！
呆楞,呆楞！就知道傻站着不动！
呆楞,你比呆楞还呆楞，简直是木头人！
呆楞,这呆楞样，真是让人火大！
憨包,你这憨包，真是蠢得无可救药！
憨包,憨包一个，就知道干些没用的事。
憨包,滚一边去，你这个没脑子的憨包！
憨包,你真是个十足的憨包，气死我了！
憨包,憨包！就知道添乱，烦死了！
憨包,别再说了，憨包，你什么都不懂！
憨包,这种简单的题你都做错，真是个憨包！
憨包,你简直就是个彻头彻尾的憨包！
憨包,憨包！就知道吃喝玩乐，一事无成！
憨包,我看你就是个天生的憨包，无可救药！
蠢材,你这蠢材，真是笨到家了！
蠢材,蠢材！你懂什么？别在这里装腔作势！
蠢材,我真是服了你这蠢材，一点儿脑子都没有。
蠢材,这蠢材，做事总是这么拖泥带水。
蠢材,蠢材！你根本不配和我说话！
蠢材,你个蠢材，就知道添乱！
蠢材,蠢材，你连这个都做不好，真是废物！
蠢材,这么简单的事儿，你个蠢材都做不好！
蠢材,蠢材！你的智商堪忧啊！
蠢材,这蠢材，简直是猪脑子！
笨鸟,你这笨鸟，学东西这么慢，真是气死我了！
笨鸟,笨鸟先飞？我看你飞都飞不起来，笨蛋！
笨鸟,整天就知道磨蹭，笨鸟！真想一脚踹飞你！
笨鸟,笨鸟，你脑袋是不是进水了？这么简单的事都做不好！
笨鸟,笨鸟，你真是个废物，啥也不会！
笨鸟,看看你干的这叫什么事儿，笨鸟，丢人现眼！
笨鸟,就知道吃喝玩乐，笨鸟，一点上进心都没有！
